id,client_id,device_id,field,value,created_at,updated_at
1,26,26,cpuUsage,48.953147616054636,2024-12-14 14:47:27,2024-12-14 14:47:27
2,26,26,memoryUsage,59.26629261652198,2024-12-14 14:47:27,2024-12-14 14:47:27
3,26,26,rxPower,-24.803681341434828,2024-12-14 14:47:27,2024-12-14 14:47:27
4,26,26,temperature,51.900057578210095,2024-12-14 14:47:27,2024-12-14 14:47:27
5,26,26,totalConnectedDevices,10,2024-12-14 14:47:27,2024-12-14 14:47:27
6,26,26,averageWorstRssi,-60,2024-12-14 14:47:27,2024-12-14 14:47:27
7,26,26,connectedDevices5gRatio,65.0,2024-12-14 14:47:27,2024-12-14 14:47:27
8,26,26,rebootCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
9,26,26,protocolCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
10,26,26,massiveEventCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
11,51,51,cpuUsage,48.953147616054636,2024-12-14 14:47:27,2024-12-14 14:47:27
12,51,51,memoryUsage,59.26629261652198,2024-12-14 14:47:27,2024-12-14 14:47:27
13,51,51,rxPower,-24.803681341434828,2024-12-14 14:47:27,2024-12-14 14:47:27
14,51,51,temperature,51.900057578210095,2024-12-14 14:47:27,2024-12-14 14:47:27
15,51,51,totalConnectedDevices,10,2024-12-14 14:47:27,2024-12-14 14:47:27
16,51,51,averageWorstRssi,-60,2024-12-14 14:47:27,2024-12-14 14:47:27
17,51,51,connectedDevices5gRatio,65.0,2024-12-14 14:47:27,2024-12-14 14:47:27
18,51,51,rebootCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
19,51,51,protocolCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
20,51,51,massiveEventCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
21,27,27,cpuUsage,41.2832511030947,2024-12-14 14:47:27,2024-12-14 14:47:27
22,27,27,memoryUsage,59.090428186733256,2024-12-14 14:47:27,2024-12-14 14:47:27
23,27,27,rxPower,-17.5,2024-12-14 14:47:27,2024-12-14 14:47:27
24,27,27,temperature,51.15941238288759,2024-12-14 14:47:27,2024-12-14 14:47:27
